,0
0,677
1,685
2,102
3,442
4,59
5,477
7,230
8,230
9,812
10,896
11,20
12,20
14,59
15,59
16,59
17,59
18,59
19,846
20,912
21,574
22,632
24,457
25,593
26,600
27,175
28,11
29,917
30,117
31,804
32,697
34,696
35,880
37,155
38,72
40,608
41,214
42,635
44,649
46,43
47,230
50,727
51,215
52,830
53,741
59,103
60,59
61,826
62,757
63,72
65,536
66,644
68,155
69,175
70,175
72,928
76,217
77,676
78,25
79,11
81,603
82,28
83,767
85,785
87,63
88,797
90,5
91,102
92,42
93,104
94,852
95,710
96,637
97,650
98,521
99,900
100,566
103,640
104,89
106,221
107,59
108,816
109,63
110,735
111,554
112,57
113,225
114,40
116,38
117,916
118,91
119,499
120,73
121,687
123,24
124,24
125,59
126,59
127,59
128,59
129,59
130,180
132,901
133,180
134,204
136,204
137,604
138,25
139,28
140,78
141,734
142,210
143,210
145,217
153,95
154,210
155,535
156,606
158,783
159,72
161,833
162,662
163,28
164,28
165,28
167,418
168,926
169,929
171,905
172,820
173,720
174,509
175,634
177,675
178,45
179,922
180,822
181,28
182,28
183,28
184,221
185,844
186,766
189,834
190,663
192,176
195,840
196,897
197,666
199,63
200,910
202,105
203,105
204,105
208,40
210,784
211,59
212,59
213,59
214,99
216,17
218,219
219,552
220,458
221,651
222,859
225,544
226,919
227,888
228,476
229,614
230,825
231,350
232,350
235,350
236,86
237,123
238,168
239,648
241,168
242,168
244,30
246,753
250,17
254,457
256,176
257,609
258,235
260,495
263,208
264,208
265,144
266,144
269,89
271,28
272,28
273,768
274,20
276,235
280,725
281,842
283,932
284,442
285,442
286,17
287,918
288,91
289,20
291,20
292,20
295,730
297,336
300,716
301,664
302,198
303,30
304,25
305,25
309,17
310,655
312,20
314,717
315,31
316,115
318,115
320,41
322,17
323,810
325,504
327,64
333,694
334,762
337,814
338,899
348,180
349,654
350,538
351,3
357,860
358,529
359,145
361,5
362,9
363,117
364,124
365,38
366,54
367,80
370,34
374,18
375,18
376,505
389,28
391,225
392,225
394,872
398,497
399,924
400,835
401,745
403,898
406,806
408,836
409,540
412,50
414,38
419,28
420,28
421,28
422,28
423,28
424,571
425,14
426,167
427,167
429,99
436,870
439,103
441,116
445,732
446,548
452,515
455,723
459,723
460,759
461,790
462,57
463,711
466,832
467,708
469,324
470,652
477,457
478,712
480,817
483,123
484,605
489,670
490,431
491,431
494,3
495,9
496,824
498,22
499,17
501,28
502,28
503,28
504,28
505,28
506,28
507,28
509,72
514,843
515,567
517,35
518,35
521,80
523,925
524,502
525,584
527,18
533,355
534,115
535,911
537,164
538,8
539,254
540,9
542,875
543,21
544,530
545,228
547,18
549,18
550,18
552,733
554,215
556,64
560,97
564,214
568,55
569,55
570,55
571,55
573,774
575,709
576,647
578,449
582,744
593,164
594,230
597,821
599,20
600,336
603,108
604,21
606,623
611,464
615,30
616,394
617,394
618,21
619,24
620,24
621,468
622,520
624,55
632,682
633,18
635,751
636,17
637,18
638,616
639,622
640,8
641,805
649,18
650,718
651,500
653,750
655,849
657,34
659,867
660,867
661,18
663,514
664,174
665,798
666,930
667,480
668,792
669,545
670,361
672,20
673,20
674,20
675,20
677,366
678,818
680,272
682,459
683,607
684,35
685,752
686,489
688,763
690,118
692,28
693,28
694,28
695,736
696,18
697,669
698,890
699,55
700,18
703,55
705,108
706,18
709,539
714,589
716,36
720,185
721,185
722,12
723,512
726,800
730,52
732,198
733,58
734,891
737,115
738,115
742,24
743,24
744,53
745,18
748,7
751,123
752,46
753,46
754,46
755,408
757,8
758,55
761,56
765,21
766,492
767,9
768,9
769,9
771,855
772,892
773,43
774,43
775,43
776,43
777,827
779,93
783,728
784,801
786,8
787,96
789,503
790,920
791,77
793,887
794,576
795,18
796,653
797,254
798,7
799,90
800,96
802,231
803,231
804,231
806,1
808,595
811,630
812,115
815,115
816,115
817,866
818,490
819,904
825,575
826,11
827,11
828,55
830,55
831,55
833,115
837,913
839,137
840,97
841,95
843,18
844,2
846,1
847,412
848,8
850,636
851,433
852,433
855,18
856,884
859,61
860,61
863,837
864,882
865,551
866,776
868,132
870,76
871,76
872,518
873,55
874,83
875,864
877,385
880,385
881,385
882,796
883,85
884,85
893,551
894,311
896,807
897,3
898,3
899,3
900,3
901,3
904,202
905,88
909,641
910,572
911,17
912,532
913,646
