,Name,Developability Index (Fv)
0,12e8_HL_clean,37.770218
1,15c8_HL_clean,41.746149
2,1a0q_HL_clean,33.594563
3,1a14_HL_clean,38.3468190000001
4,1a2y_BA_clean,41.994771
5,1a3l_HL_clean,61.4376099999999
6,1a3r_HL_clean,39.996412
7,1a4j_HL_clean,55.346515
8,1a4k_HL_clean,50.2037600000001
9,1a5f_HL_clean,34.716066
10,1a6t_BA_clean,34.55015
11,1a6u_HL_clean,52.0479010000001
12,1a6v_IM_clean,47.701587
13,1a6w_HL_clean,51.920454
14,1a7n_HL_clean,38.2677509999999
15,1a7o_HL_clean,38.247047
16,1a7p_HL_clean,37.7017
17,1a7q_HL_clean,47.1497629999999
18,1a7r_HL_clean,38.632383
19,1ad0_BA_clean,37.86672
20,1ad9_BA_clean,42.163557
21,1ai1_HL_clean,45.211995
22,1aif_HL_clean,55.954943
23,1aj7_HL_clean,33.403717
24,1ap2_DC_clean,44.360977
25,1aqk_HL_clean,58.8685759999999
26,1ar1_CD_clean,41.1448460000001
27,1axs_BA_clean,41.998012
28,1axt_HL_clean,47.8087429999999
29,1ay1_HL_clean,57.308374
30,1b2w_HL_clean,47.427583
31,1b4j_HL_clean,60.433646
32,1baf_HL_clean,48.3998129999999
33,1bbd_HL_clean,35.486223
34,1bfo_HG_clean,32.345027
35,1bfv_HL_clean,63.467308
36,1bgx_HL_clean,63.68498
37,1bj1_HL_clean,37.301105
38,1bln_BA_clean,41.750032
39,1bm3_HL_clean,32.2476280000001
40,1bog_BA_clean,46.286856
41,1bql_HL_clean,43.655692
42,1bvk_BA_clean,42.9226379999999
43,1bvl_AB_clean,44.546399
44,1bz7_BA_clean,33.773884
45,1c08_BA_clean,41.204558
46,1c12_BA_clean,40.386234
47,1c1e_HL_clean,64.0623479999999
48,1c5b_HL_clean,35.633522
49,1c5c_HL_clean,38.075402
50,1c5d_HL_clean,56.9411319999999
51,1cbv_HL_clean,53.342819
52,1ce1_HL_clean,17.736439
53,1cf8_HL_clean,49.223934
54,1cfn_BA_clean,49.210126
55,1cfq_BA_clean,52.0286209999999
56,1cfs_BA_clean,50.990751
57,1cft_BA_clean,48.9528199999999
58,1cfv_HL_clean,63.056585
59,1cgs_HL_clean,44.86906
60,1cic_DC_clean,26.1529
61,1ck0_HL_clean,27.684002
62,1clo_HL_clean,32.842555
63,1cly_HL_clean,55.3188440000001
64,1clz_HL_clean,53.2632120000001
65,1cr9_HL_clean,42.403954
66,1ct8_DC_clean,39.4170770000001
67,1cu4_HL_clean,42.5770960000001
68,1cz8_YX_clean,45.316717
69,1d5b_HL_clean,32.493437
70,1d5i_HL_clean,40.42516
71,1d6v_HL_clean,42.211287
72,1dba_HL_clean,67.7492710000001
73,1dbb_HL_clean,68.5788960000001
74,1dbj_HL_clean,68.895854
75,1dbm_HL_clean,69.9199750000001
76,1dee_BA_clean,41.3739590000001
77,1dfb_HL_clean,39.1731959999999
78,1dl7_HL_clean,50.282046
79,1dlf_HL_clean,54.511146
80,1dn0_BA_clean,36.697827
81,1dqd_HL_clean,49.5416409999999
82,1dqj_BA_clean,32.842028
83,1dql_HL_clean,44.29043
84,1dqq_BA_clean,34.373783
85,1dsf_HL_clean,72.5027509999999
86,1dvf_BA_clean,39.037419
87,1dzb_AA_clean,41.273149
88,1e4w_HL_clean,42.14349
89,1e4x_HL_clean,39.676901
90,1e6o_HL_clean,45.6758079999999
91,1eap_BA_clean,45.244543
92,1egj_HL_clean,37.572039
93,1ehl_HL_clean,50.433561
94,1ejo_HL_clean,47.031442
95,1emt_HL_clean,36.434238
96,1eo8_HL_clean,41.332896
97,1etz_BA_clean,57.192516
98,1ezv_XY_clean,50.464843
99,1f3d_HL_clean,46.9573229999999
100,1f4w_HL_clean,51.2328699999999
101,1f4x_HL_clean,49.342598
102,1f4y_HL_clean,50.6202169999999
103,1f58_HL_clean,47.377908
104,1f8t_HL_clean,50.865864
105,1f90_HL_clean,47.523119
106,1fai_HL_clean,37.0853660000001
107,1fdl_HL_clean,29.3334769999999
108,1fe8_HL_clean,31.4360029999999
109,1fgn_HL_clean,32.752364
110,1fgv_HL_clean,49.418085
111,1fh5_HL_clean,39.376516
112,1fj1_BA_clean,34.470128
113,1fl3_AB_clean,57.200448
114,1fl5_HL_clean,39.842694
115,1fl6_BA_clean,37.9888809999999
116,1flr_HL_clean,53.622561
117,1fn4_DC_clean,59.092916
118,1fns_HL_clean,38.052934
119,1for_HL_clean,39.22251
120,1frg_HL_clean,42.747071
121,1fsk_IH_clean,40.596935
122,1fvc_DC_clean,44.281438
123,1fvd_BA_clean,31.227581
124,1fve_DC_clean,33.037721
