model_name	data	preprocessing	F1	MCC	Acc	Precision	Recall	AUC	filename
logistic_regression	integer_encoded	none	0.5074626865671641	0.34618072417297263	0.725	0.4146341463414634	0.6538461538461539	0.6992635024549918	../../data/evaluations/2021-11-24/logistic_regression_integer_encoded.json
random_forest	integer_encoded	none	0.2285714285714286	0.1574351717262429	0.775	0.4444444444444444	0.15384615384615385	0.5503273322422257	../../data/evaluations/2021-11-24/random_forest_integer_encoded.json
gradient_boosting	integer_encoded	none	0.30303030303030304	0.3006335458732897	0.8083333333333333	0.7142857142857143	0.19230769230769232	0.5855155482815056	../../data/evaluations/2021-11-24/gradient_boosting_integer_encoded.json
SVM	integer_encoded	none	0.4406779661016949	0.26501466996213197	0.725	0.3939393939393939	0.5	0.6436170212765958	../../data/evaluations/2021-11-24/SVM_integer_encoded.json
multilayer_perceptron	integer_encoded	none	0.4827586206896552	0.32324284925164637	0.75	0.4375	0.5384615384615384	0.6734860883797054	../../data/evaluations/2021-11-24/multilayer_perceptron_integer_encoded.json
logistic_regression	pybiomed	none	0.5714285714285714	0.43728674077196383	0.775	0.4864864864864865	0.6923076923076923	0.745090016366612	../../data/evaluations/2021-11-24/logistic_regression_pybiomed.json
random_forest	pybiomed	none	0.35555555555555557	0.2151779811460451	0.7583333333333333	0.42105263157894735	0.3076923076923077	0.5953355155482815	../../data/evaluations/2021-11-24/random_forest_pybiomed.json
gradient_boosting	pybiomed	none	0.12903225806451613	0.09279149289779721	0.775	0.4	0.07692307692307693	0.5225040916530278	../../data/evaluations/2021-11-24/gradient_boosting_pybiomed.json
SVM	pybiomed	none	0.5172413793103449	0.36898476188159635	0.7666666666666667	0.46875	0.5769230769230769	0.6980360065466449	../../data/evaluations/2021-11-24/SVM_pybiomed.json
multilayer_perceptron	pybiomed	none	0.0	0.0	0.7833333333333333	0.0	0.0	0.5	../../data/evaluations/2021-11-24/multilayer_perceptron_pybiomed.json
logistic_regression	protparam	none	0.28235294117647064	-0.031694676944994615	0.49166666666666664	0.2033898305084746	0.46153846153846156	0.48076923076923084	../../data/evaluations/2021-11-24/logistic_regression_protparam.json
random_forest	protparam	none	0.2285714285714286	-0.06436267532181093	0.55	0.18181818181818182	0.3076923076923077	0.4623567921440262	../../data/evaluations/2021-11-24/random_forest_protparam.json
gradient_boosting	protparam	none	0.0625	-0.027843501462510502	0.75	0.16666666666666666	0.038461538461538464	0.4926350245499182	../../data/evaluations/2021-11-24/gradient_boosting_protparam.json
SVM	protparam	none	0.29126213592233013	-0.07101027234304307	0.39166666666666666	0.19480519480519481	0.5769230769230769	0.45867430441898527	../../data/evaluations/2021-11-24/SVM_protparam.json
multilayer_perceptron	protparam	none	0.2564102564102564	0.1420977252150067	0.7583333333333333	0.38461538461538464	0.19230769230769232	0.5536006546644844	../../data/evaluations/2021-11-24/multilayer_perceptron_protparam.json
logistic_regression	bert	none	0.53125	0.3812118695553192	0.75	0.4473684210526316	0.6538461538461539	0.7152209492635025	../../data/evaluations/2021-11-24/logistic_regression_bert.json
