,aa_percent0_x,aa_percent1_x,aa_percent2_x,aa_percent3_x,aa_percent4_x,aa_percent5_x,aa_percent6_x,aa_percent7_x,aa_percent8_x,aa_percent9_x,aa_percent10_x,aa_percent11_x,aa_percent12_x,aa_percent13_x,aa_percent14_x,aa_percent15_x,aa_percent16_x,aa_percent17_x,aa_percent18_x,aa_percent19_x,aromacity_x,instability_x,flexibility_x,isoelectric_x,mol_extinct1_x,mol_extinct2_x,mw_x,gravy_x,ss_faction1_x,ss_faction2_x,ss_faction3_x,aa_percent0_y,aa_percent1_y,aa_percent2_y,aa_percent3_y,aa_percent4_y,aa_percent5_y,aa_percent6_y,aa_percent7_y,aa_percent8_y,aa_percent9_y,aa_percent10_y,aa_percent11_y,aa_percent12_y,aa_percent13_y,aa_percent14_y,aa_percent15_y,aa_percent16_y,aa_percent17_y,aa_percent18_y,aa_percent19_y,aromacity_y,instability_y,flexibility_y,isoelectric_y,mol_extinct1_y,mol_extinct2_y,mw_y,gravy_y,ss_faction1_y,ss_faction2_y,ss_faction3_y,name
3okd,0.08196721311475409,0.01639344262295082,0.040983606557377046,0.04918032786885246,0.040983606557377046,0.10655737704918032,0.00819672131147541,0.01639344262295082,0.040983606557377046,0.08196721311475409,0.01639344262295082,0.02459016393442623,0.02459016393442623,0.040983606557377046,0.06557377049180328,0.09836065573770492,0.08196721311475409,0.05737704918032787,0.02459016393442623,0.08196721311475409,0.14754098360655737,46.886885245901624,0.9974272018541931,8.58673095703125,31400,31525,13625.051299999988,-0.4122950819672131,0.30327868852459017,0.2540983606557377,0.22950819672131145,0.0625,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.026785714285714284,0.08035714285714286,0.0,0.03571428571428571,0.07142857142857142,0.08928571428571429,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.0625,0.044642857142857144,0.14285714285714285,0.08035714285714286,0.05357142857142857,0.017857142857142856,0.05357142857142857,0.09821428571428571,46.28660714285712,1.004450531668978,9.36004638671875,19940,20065,12297.732899999988,-0.42767857142857146,0.27678571428571425,0.29464285714285715,0.20535714285714285,3okd
5fb8,0.049586776859504134,0.01652892561983471,0.049586776859504134,0.04132231404958678,0.024793388429752067,0.0743801652892562,0.01652892561983471,0.03305785123966942,0.0743801652892562,0.0743801652892562,0.024793388429752067,0.05785123966942149,0.024793388429752067,0.049586776859504134,0.008264462809917356,0.1322314049586777,0.08264462809917356,0.049586776859504134,0.024793388429752067,0.09090909090909091,0.14049586776859505,32.208264462809915,1.0025755739795918,6.09906005859375,32890,33015,13601.93349999999,-0.5611570247933885,0.2975206611570248,0.2892561983471075,0.19008264462809918,0.07207207207207207,0.018018018018018018,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.09009009009009009,0.02702702702702703,0.04504504504504504,0.04504504504504504,0.09009009009009009,0.009009009009009009,0.018018018018018018,0.06306306306306306,0.05405405405405406,0.036036036036036036,0.13513513513513514,0.07207207207207207,0.04504504504504504,0.009009009009009009,0.06306306306306306,0.0990990990990991,56.74054054054053,1.0017600373482727,7.00921630859375,15930,16055,12046.341899999992,-0.3441441441441442,0.27927927927927926,0.3063063063063063,0.22522522522522523,5fb8
4olz,0.056,0.032,0.048,0.04,0.032,0.088,0.008,0.032,0.04,0.048,0.048,0.024,0.048,0.048,0.096,0.088,0.072,0.048,0.048,0.056,0.136,44.633599999999994,0.996704433497537,9.35443115234375,43430,43680,14467.284699999986,-0.6328000000000003,0.264,0.248,0.192,0.04950495049504951,0.019801980198019802,0.039603960396039604,0.039603960396039604,0.039603960396039604,0.1188118811881188,0.0,0.0594059405940594,0.009900990099009901,0.06930693069306931,0.0,0.019801980198019802,0.0594059405940594,0.0891089108910891,0.0594059405940594,0.1188118811881188,0.06930693069306931,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.12871287128712872,30.780198019801958,0.9989206780538301,5.22308349609375,21430,21555,11093.143599999996,-0.37029702970297024,0.3069306930693069,0.31683168316831684,0.15841584158415842,4olz
1hh6,0.08035714285714286,0.017857142857142856,0.044642857142857144,0.044642857142857144,0.026785714285714284,0.09821428571428571,0.026785714285714284,0.03571428571428571,0.07142857142857142,0.08035714285714286,0.008928571428571428,0.008928571428571428,0.026785714285714284,0.0625,0.017857142857142856,0.10714285714285714,0.09821428571428571,0.0625,0.026785714285714284,0.05357142857142857,0.10714285714285714,29.63571428571428,1.0005670365233472,7.00689697265625,25440,25565,12196.516399999988,-0.3276785714285714,0.2857142857142857,0.24107142857142855,0.2142857142857143,0.028037383177570093,0.018691588785046728,0.056074766355140186,0.028037383177570093,0.04672897196261682,0.08411214953271028,0.0,0.06542056074766354,0.06542056074766354,0.102803738317757,0.037383177570093455,0.018691588785046728,0.04672897196261682,0.04672897196261682,0.037383177570093455,0.1308411214953271,0.09345794392523364,0.018691588785046728,0.009345794392523364,0.06542056074766354,0.12149532710280372,43.27570093457941,0.998798833819242,8.58538818359375,15930,16055,11959.534299999992,-0.25607476635514015,0.308411214953271,0.2803738317757009,0.19626168224299065,1hh6
1yef,0.04878048780487805,0.016260162601626018,0.032520325203252036,0.04878048780487805,0.032520325203252036,0.08943089430894309,0.008130081300813009,0.04065040650406504,0.06504065040650407,0.07317073170731707,0.024390243902439025,0.008130081300813009,0.024390243902439025,0.056910569105691054,0.04065040650406504,0.12195121951219512,0.0975609756097561,0.056910569105691054,0.04065040650406504,0.07317073170731707,0.14634146341463414,37.14471544715446,0.9975169172932332,8.87957763671875,40910,41035,13938.58639999999,-0.38130081300813,0.3170731707317073,0.24390243902439024,0.1951219512195122,0.026785714285714284,0.017857142857142856,0.044642857142857144,0.017857142857142856,0.026785714285714284,0.10714285714285714,0.017857142857142856,0.0625,0.05357142857142857,0.125,0.008928571428571428,0.017857142857142856,0.05357142857142857,0.05357142857142857,0.03571428571428571,0.125,0.08928571428571429,0.0625,0.008928571428571428,0.044642857142857144,0.08035714285714286,46.4410714285714,0.99890684234859,9.00860595703125,12950,13075,12078.683299999988,-0.049107142857142926,0.33035714285714285,0.30357142857142855,0.17857142857142858,1yef
5i19,0.07563025210084033,0.01680672268907563,0.04201680672268908,0.04201680672268908,0.03361344537815126,0.13445378151260504,0.0,0.025210084033613446,0.03361344537815126,0.09243697478991597,0.01680672268907563,0.025210084033613446,0.01680672268907563,0.04201680672268908,0.04201680672268908,0.14285714285714285,0.058823529411764705,0.06722689075630252,0.025210084033613446,0.06722689075630252,0.12605042016806722,36.73109243697478,0.9985694805194807,5.24822998046875,28420,28545,12749.03019999999,-0.14453781512605038,0.31092436974789917,0.31932773109243695,0.226890756302521,0.056074766355140186,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.0,0.056074766355140186,0.04672897196261682,0.07476635514018691,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.09345794392523364,0.028037383177570093,0.18691588785046728,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186,0.10280373831775699,57.86261682242991,1.0028889698736638,8.63934326171875,14440,14565,11531.716599999992,-0.3168224299065419,0.27102803738317754,0.32710280373831774,0.1588785046728972,5i19
2xqb,0.096,0.016,0.048,0.024,0.04,0.08,0.0,0.016,0.048,0.056,0.024,0.008,0.04,0.08,0.04,0.128,0.08,0.08,0.048,0.048,0.136,35.977599999999995,0.9987386083743842,8.62005615234375,41940,42065,13796.307999999988,-0.29600000000000004,0.28800000000000003,0.256,0.2,0.05660377358490566,0.018867924528301886,0.04716981132075472,0.03773584905660377,0.018867924528301886,0.10377358490566038,0.0,0.02830188679245283,0.03773584905660377,0.08490566037735849,0.0,0.018867924528301886,0.0660377358490566,0.03773584905660377,0.08490566037735849,0.14150943396226415,0.07547169811320754,0.04716981132075472,0.02830188679245283,0.0660377358490566,0.11320754716981132,45.251886792452815,1.0041713303878252,9.26068115234375,26930,27055,11672.841299999995,-0.5990566037735853,0.27358490566037735,0.33018867924528306,0.17924528301886794,2xqb
6azk,0.04201680672268908,0.01680672268907563,0.03361344537815126,0.01680672268907563,0.04201680672268908,0.09243697478991597,0.008403361344537815,0.03361344537815126,0.04201680672268908,0.08403361344537816,0.008403361344537815,0.058823529411764705,0.03361344537815126,0.07563025210084033,0.025210084033613446,0.12605042016806722,0.08403361344537816,0.07563025210084033,0.03361344537815126,0.06722689075630252,0.14285714285714285,41.96806722689075,0.9963252164502163,8.60357666015625,33920,34045,13223.606299999989,-0.2798319327731092,0.33613445378151263,0.31092436974789917,0.1512605042016807,0.037383177570093455,0.018691588785046728,0.037383177570093455,0.04672897196261682,0.037383177570093455,0.08411214953271028,0.009345794392523364,0.08411214953271028,0.028037383177570093,0.07476635514018691,0.0,0.056074766355140186,0.04672897196261682,0.056074766355140186,0.04672897196261682,0.16822429906542055,0.07476635514018691,0.037383177570093455,0.018691588785046728,0.037383177570093455,0.09345794392523363,50.279439252336445,1.0031128522837707,5.69976806640625,16960,17085,11679.779099999989,-0.3588785046728974,0.2897196261682243,0.35514018691588783,0.1588785046728972,6azk
6ffj,0.096,0.016,0.048,0.04,0.024,0.064,0.008,0.04,0.048,0.064,0.032,0.024,0.032,0.064,0.056,0.12,0.072,0.032,0.032,0.088,0.144,48.85759999999998,0.9989945607553367,8.53997802734375,38390,38515,14214.733499999988,-0.5488000000000002,0.28,0.24,0.232,0.037383177570093455,0.018691588785046728,0.056074766355140186,0.028037383177570093,0.028037383177570093,0.08411214953271028,0.009345794392523364,0.056074766355140186,0.037383177570093455,0.102803738317757,0.009345794392523364,0.037383177570093455,0.04672897196261682,0.07476635514018691,0.037383177570093455,0.14018691588785046,0.102803738317757,0.028037383177570093,0.009345794392523364,0.056074766355140186,0.09345794392523364,28.50093457943924,1.0018556851311953,5.64923095703125,14440,14565,11718.873199999987,-0.43364485981308437,0.2803738317757009,0.308411214953271,0.17757009345794392,6ffj
2gsi,0.06611570247933884,0.01652892561983471,0.049586776859504134,0.049586776859504134,0.01652892561983471,0.09090909090909091,0.0,0.03305785123966942,0.03305785123966942,0.06611570247933884,0.04132231404958678,0.03305785123966942,0.024793388429752067,0.06611570247933884,0.01652892561983471,0.09917355371900827,0.11570247933884298,0.0743801652892562,0.03305785123966942,0.0743801652892562,0.12396694214876033,41.4578512396694,0.9969873511904763,4.27410888671875,35410,35535,13357.725599999992,-0.26280991735537196,0.2975206611570248,0.24793388429752067,0.2231404958677686,0.06306306306306306,0.018018018018018018,0.036036036036036036,0.05405405405405406,0.018018018018018018,0.0990990990990991,0.018018018018018018,0.05405405405405406,0.036036036036036036,0.08108108108108109,0.009009009009009009,0.02702702702702703,0.07207207207207207,0.04504504504504504,0.05405405405405406,0.14414414414414414,0.06306306306306306,0.05405405405405406,0.009009009009009009,0.04504504504504504,0.07207207207207207,67.79369369369368,1.0050737628384687,6.91973876953125,12950,13075,11889.13529999999,-0.3855855855855855,0.26126126126126126,0.34234234234234234,0.2072072072072072,2gsi
