,aa_percent0_x,aa_percent1_x,aa_percent2_x,aa_percent3_x,aa_percent4_x,aa_percent5_x,aa_percent6_x,aa_percent7_x,aa_percent8_x,aa_percent9_x,aa_percent10_x,aa_percent11_x,aa_percent12_x,aa_percent13_x,aa_percent14_x,aa_percent15_x,aa_percent16_x,aa_percent17_x,aa_percent18_x,aa_percent19_x,aromacity_x,instability_x,flexibility_x,isoelectric_x,mol_extinct1_x,mol_extinct2_x,mw_x,gravy_x,ss_faction1_x,ss_faction2_x,ss_faction3_x,aa_percent0_y,aa_percent1_y,aa_percent2_y,aa_percent3_y,aa_percent4_y,aa_percent5_y,aa_percent6_y,aa_percent7_y,aa_percent8_y,aa_percent9_y,aa_percent10_y,aa_percent11_y,aa_percent12_y,aa_percent13_y,aa_percent14_y,aa_percent15_y,aa_percent16_y,aa_percent17_y,aa_percent18_y,aa_percent19_y,aromacity_y,instability_y,flexibility_y,isoelectric_y,mol_extinct1_y,mol_extinct2_y,mw_y,gravy_y,ss_faction1_y,ss_faction2_y,ss_faction3_y
Abagovomab,0.10084033613445378,0.01680672268907563,0.03361344537815126,0.03361344537815126,0.025210084033613446,0.11764705882352941,0.008403361344537815,0.01680672268907563,0.06722689075630252,0.058823529411764705,0.01680672268907563,0.025210084033613446,0.025210084033613446,0.058823529411764705,0.03361344537815126,0.1092436974789916,0.08403361344537816,0.05042016806722689,0.04201680672268908,0.07563025210084033,0.14285714285714285,24.734453781512595,1.0005760822510823,9.100953483581542,40910,41035,13030.347999999994,-0.5025210084033613,0.2689075630252101,0.2773109243697479,0.2100840336134454,0.056074766355140186,0.018691588785046728,0.018691588785046728,0.04672897196261682,0.037383177570093455,0.11214953271028037,0.037383177570093455,0.06542056074766354,0.06542056074766354,0.09345794392523364,0.0,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.1308411214953271,0.07476635514018691,0.037383177570093455,0.009345794392523364,0.056074766355140186,0.10280373831775699,53.69345794392522,0.9995640184645286,7.973723793029785,14440,14565,11556.838399999993,-0.2570093457943924,0.29906542056074764,0.29906542056074764,0.19626168224299065
Abituzumab,0.07627118644067797,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.1016949152542373,0.00847457627118644,0.025423728813559324,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.01694915254237288,0.025423728813559324,0.059322033898305086,0.0423728813559322,0.1271186440677966,0.1016949152542373,0.059322033898305086,0.03389830508474576,0.06779661016949153,0.13559322033898305,39.184745762711856,0.9985997160332024,5.736498069763184,33920,34045,13026.309699999987,-0.3906779661016949,0.27118644067796605,0.2711864406779661,0.21186440677966104,0.04672897196261682,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.009345794392523364,0.07476635514018691,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.14018691588785046,0.102803738317757,0.037383177570093455,0.009345794392523364,0.07476635514018691,0.12149532710280372,42.51401869158876,1.0013787657920312,8.586624717712404,17420,17545,11762.968599999993,-0.4523364485981308,0.2803738317757009,0.29906542056074764,0.12149532710280372
Abrilumab,0.059322033898305086,0.01694915254237288,0.059322033898305086,0.05084745762711865,0.025423728813559324,0.1016949152542373,0.00847457627118644,0.01694915254237288,0.059322033898305086,0.059322033898305086,0.025423728813559324,0.0,0.03389830508474576,0.06779661016949153,0.01694915254237288,0.13559322033898305,0.09322033898305085,0.09322033898305085,0.03389830508474576,0.0423728813559322,0.10169491525423728,30.763559322033885,1.0052344910441242,4.780920982360839,29450,29575,12757.023099999993,-0.3499999999999998,0.27118644067796605,0.2711864406779661,0.19491525423728814,0.06542056074766354,0.018691588785046728,0.037383177570093455,0.028037383177570093,0.04672897196261682,0.09345794392523364,0.0,0.056074766355140186,0.04672897196261682,0.056074766355140186,0.009345794392523364,0.028037383177570093,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.1588785046728972,0.07476635514018691,0.04672897196261682,0.028037383177570093,0.037383177570093455,0.11214953271028036,40.15140186915885,1.002817541302235,7.9703069686889645,22460,22585,11548.710399999989,-0.33551401869158864,0.27102803738317754,0.3364485981308411,0.1588785046728972
Actoxumab,0.05737704918032787,0.01639344262295082,0.05737704918032787,0.03278688524590164,0.03278688524590164,0.11475409836065574,0.00819672131147541,0.03278688524590164,0.02459016393442623,0.06557377049180328,0.02459016393442623,0.040983606557377046,0.01639344262295082,0.04918032786885246,0.06557377049180328,0.10655737704918032,0.04918032786885246,0.11475409836065574,0.040983606557377046,0.04918032786885246,0.12295081967213115,38.07950819672129,0.9942206068268016,6.767841529846191,36440,36565,13524.01819999999,-0.1795081967213114,0.33606557377049184,0.2786885245901639,0.18032786885245902,0.07476635514018691,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.04672897196261682,0.08411214953271028,0.009345794392523364,0.056074766355140186,0.04672897196261682,0.056074766355140186,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.16822429906542055,0.08411214953271028,0.04672897196261682,0.028037383177570093,0.037383177570093455,0.11214953271028036,51.51775700934579,1.000327745383868,8.682102394104007,22460,22585,11530.73829999999,-0.2607476635514017,0.27102803738317754,0.3177570093457944,0.1588785046728972
Adalimumab,0.09090909090909091,0.01652892561983471,0.05785123966942149,0.04132231404958678,0.024793388429752067,0.09090909090909091,0.01652892561983471,0.024793388429752067,0.024793388429752067,0.09090909090909091,0.01652892561983471,0.03305785123966942,0.01652892561983471,0.04132231404958678,0.049586776859504134,0.1322314049586777,0.05785123966942149,0.08264462809917356,0.03305785123966942,0.05785123966942149,0.11570247933884298,42.9297520661157,0.995750212585034,5.184364128112792,32430,32555,13239.546499999988,-0.18429752066115707,0.3140495867768595,0.2727272727272727,0.2396694214876033,0.07476635514018691,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.056074766355140186,0.1308411214953271,0.09345794392523364,0.04672897196261682,0.009345794392523364,0.06542056074766354,0.102803738317757,46.58504672897194,1.0005216229348883,9.42864627838135,15930,16055,11664.963199999991,-0.40280373831775695,0.27102803738317754,0.2897196261682243,0.16822429906542052
Aducanumab,0.07258064516129033,0.016129032258064516,0.04838709677419355,0.024193548387096774,0.03225806451612903,0.12096774193548387,0.008064516129032258,0.024193548387096774,0.04838709677419355,0.056451612903225805,0.024193548387096774,0.024193548387096774,0.024193548387096774,0.04032258064516129,0.08064516129032258,0.08870967741935484,0.07258064516129033,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.12903225806451613,36.686290322580625,0.995835817805383,9.650804328918458,33920,34045,13761.409399999984,-0.3419354838709676,0.3064516129032258,0.25806451612903225,0.1774193548387097,0.056074766355140186,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.07476635514018691,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.18691588785046728,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186,0.10280373831775699,60.169158878504675,1.0028357628765792,8.639359855651858,14440,14565,11460.638699999992,-0.2878504672897194,0.27102803738317754,0.3364485981308411,0.1588785046728972
Alemtuzumab,0.05785123966942149,0.01652892561983471,0.04132231404958678,0.03305785123966942,0.049586776859504134,0.09090909090909091,0.008264462809917356,0.01652892561983471,0.03305785123966942,0.0743801652892562,0.01652892561983471,0.024793388429752067,0.049586776859504134,0.05785123966942149,0.05785123966942149,0.09917355371900827,0.10743801652892562,0.09090909090909091,0.024793388429752067,0.049586776859504134,0.12396694214876033,29.094297520661144,0.9960978954081633,8.6597318649292,25440,25565,13383.892099999988,-0.2677685950413224,0.30578512396694213,0.2644628099173554,0.18181818181818182,0.037383177570093455,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.07476635514018691,0.06542056074766354,0.06542056074766354,0.009345794392523364,0.04672897196261682,0.056074766355140186,0.08411214953271028,0.037383177570093455,0.12149532710280374,0.102803738317757,0.037383177570093455,0.009345794392523364,0.04672897196261682,0.09345794392523364,52.6626168224299,1.0037257045675414,9.232468986511229,12950,13075,11824.146199999988,-0.5196261682242992,0.27102803738317754,0.29906542056074764,0.1308411214953271
Alirocumab,0.06779661016949153,0.01694915254237288,0.05084745762711865,0.025423728813559324,0.03389830508474576,0.1271186440677966,0.00847457627118644,0.025423728813559324,0.03389830508474576,0.0847457627118644,0.01694915254237288,0.059322033898305086,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.1271186440677966,0.06779661016949153,0.07627118644067797,0.03389830508474576,0.0423728813559322,0.11016949152542371,33.22711864406778,0.9985541721275667,8.063979530334471,29450,29575,12708.97959999999,-0.24576271186440682,0.2966101694915254,0.3305084745762712,0.19491525423728812,0.04424778761061947,0.017699115044247787,0.04424778761061947,0.035398230088495575,0.035398230088495575,0.07964601769911504,0.0,0.04424778761061947,0.035398230088495575,0.07964601769911504,0.008849557522123894,0.04424778761061947,0.05309734513274336,0.07964601769911504,0.04424778761061947,0.12389380530973451,0.08849557522123894,0.05309734513274336,0.017699115044247787,0.07079646017699115,0.12389380530973451,36.74778761061944,1.0008424908424909,6.358941841125487,22920,23045,12591.840199999988,-0.47079646017699106,0.30088495575221236,0.3008849557522124,0.16814159292035397
Amatuximab,0.058823529411764705,0.01680672268907563,0.04201680672268908,0.03361344537815126,0.03361344537815126,0.11764705882352941,0.008403361344537815,0.025210084033613446,0.06722689075630252,0.06722689075630252,0.01680672268907563,0.025210084033613446,0.03361344537815126,0.05042016806722689,0.025210084033613446,0.15126050420168066,0.07563025210084033,0.058823529411764705,0.025210084033613446,0.06722689075630252,0.12605042016806722,26.127731092436964,1.0041899350649353,8.55516414642334,28420,28545,12874.15579999999,-0.4268907563025209,0.2773109243697479,0.32773109243697474,0.1764705882352941,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.04716981132075472,0.018867924528301886,0.08490566037735849,0.018867924528301886,0.04716981132075472,0.0660377358490566,0.03773584905660377,0.02830188679245283,0.009433962264150943,0.04716981132075472,0.04716981132075472,0.018867924528301886,0.19811320754716982,0.08490566037735849,0.04716981132075472,0.02830188679245283,0.05660377358490566,0.10377358490566038,62.946226415094344,1.0063846342660776,6.912496757507324,25440,25565,11472.566799999995,-0.5150943396226415,0.2358490566037736,0.339622641509434,0.169811320754717
Andecaliximab,0.02608695652173913,0.017391304347826087,0.034782608695652174,0.034782608695652174,0.017391304347826087,0.10434782608695652,0.008695652173913044,0.02608695652173913,0.05217391304347826,0.10434782608695652,0.02608695652173913,0.034782608695652174,0.034782608695652174,0.043478260869565216,0.02608695652173913,0.11304347826086956,0.10434782608695652,0.0782608695652174,0.034782608695652174,0.0782608695652174,0.13043478260869568,28.686956521739113,0.9957756064690026,7.930143165588379,35410,35535,12795.332099999989,-0.2286956521739131,0.3391304347826087,0.28695652173913044,0.19130434782608696,0.056074766355140186,0.018691588785046728,0.056074766355140186,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.009345794392523364,0.056074766355140186,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.04672897196261682,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.102803738317757,0.07476635514018691,0.009345794392523364,0.06542056074766354,0.102803738317757,38.584112149532686,1.0009173955296404,8.60338649749756,15930,16055,11652.859699999994,-0.3962616822429907,0.2803738317757009,0.2803738317757009,0.1308411214953271
